n,Matrix_mult,Strassen,Tmatrix_mult
2,1,0,2
4,1,1,2
8,8,8,10
16,55,50,53
32,235,272,220
64,1731,2137,2351
128,15793,16537,13866
256,115676,126482,116922
512,1065854,1103320,985252
1024,9664025,6708615,8206638
