n,Matrix_mult,Strassen,Tmatrix_mult
2,0,0,1
4,1,0,1
8,4,4,5
16,30,30,33
32,239,232,242
64,1821,1829,1988
128,16923,13717,15348
256,115303,97533,111765
512,983941,743796,951953
1024,8599682,5811742,8135914
