n,Matrix_mult,Strassen,Tmatrix_mult
2,1,0,1
4,1,1,2
8,5,4,5
16,29,60,36
32,226,448,236
64,2364,3391,2032
128,16051,25252,14209
256,162735,189516,118220
512,1085975,1505078,935068
1024,9326818,9674382,8241137
