n,Matrix_mult,Strassen,Tmatrix_mult
2,0,0,1
4,1,0,1
8,4,4,5
16,28,28,31
32,220,212,218
64,1695,1805,1843
128,15110,13929,13722
256,119751,103081,115398
512,1059896,892262,952741
1024,9503024,5325842,8207746
