n,Matrix_mult,Strassen,Tmatrix_mult
2,0,0,1
4,1,10,1
8,4,70,5
16,30,525,32
32,217,4067,250
64,1870,32519,2034
128,15705,199151,14224
256,118818,1513899,115009
512,1073469,10149049,949072
1024,9645965,77488360,8743778
