n,Matrix_mult,Strassen,Tmatrix_mult
2,0,0,1
4,1,1,2
8,4,21,6
16,32,157,32
32,273,1067,218
64,1764,8361,1953
128,15440,58875,14612
256,120459,438346,124050
512,1127503,3202111,962242
1024,9228384,22947266,8194053
